,dataset,target,precision,recall,f1,accuracy
0,imdb,imdb_score,0.28832442067736186,0.3333333333333333,0.3091995221027479,0.8649732620320856
1,imdb,content_rating,0.14486657872337938,0.1711103427521338,0.14780663777039124,0.5053475935828877
2,imdb,content_rating,0.7139682707642074,0.7269353170817735,0.718449992627143,0.7406417112299465
3,mushroom,Class,1.0,1.0,1.0,1.0
4,mushroom,population,0.4374205441139079,0.4511486973070278,0.43179654687707697,0.4526129317980514
5,mushroom,habitat,0.6205238531509718,0.6378863862260447,0.5933945133962086,0.6882196634189548
6,census,income,0.8730570648414087,0.5756976029020594,0.5699590452014841,0.7870339639340636
7,census,marital-status,0.06687636329149939,0.14282338644342424,0.09109699644741091,0.4680827525168713
8,census,workclass,0.10536879869770677,0.14285714285714285,0.1212821305779411,0.7375815908839474
9,bank,y,0.769322804498684,0.5993760485033993,0.6342731538233927,0.9093851132686084
10,bank,loan,0.4255663430420712,0.5,0.4597902097902098,0.8511326860841424
11,bank,housing,0.26779935275080907,0.5,0.34878819810326656,0.5355987055016181
12,intention,Revenue,0.8496938384998086,0.514583056257481,0.4892973090647509,0.8531958762886598
13,intention,VisitorType,0.4288659793814433,0.5,0.4617092119866814,0.8577319587628865
14,intention,SpecialDay,0.14996563573883162,0.16666666666666666,0.15787569640402285,0.8997938144329897
15,anuran,Family,1.0,1.0,1.0,1.0
16,anuran,Genus,1.0,1.0,1.0,1.0
17,anuran,Species,0.94570596441378,0.9476683316683315,0.9456131753885959,0.9819318971507992
18,telco,Churn,0.37410841654778887,0.5,0.4279885760913913,0.7482168330955777
19,telco,Contract,0.4816058125459916,0.4416586051562337,0.3981563945694481,0.587018544935806
20,telco,PaymentMethod,0.2759579477980446,0.3304256942587784,0.2892494961814306,0.35805991440798857
21,paris,category,0.433,0.5,0.4640943193997856,0.866
22,paris,isNewBuilt,0.4943500668066425,0.4970369658530335,0.4236110877490443,0.486
23,paris,hasStorageRoom,0.5181152147731835,0.5180540621639869,0.5178219370990454,0.5185
24,smoking,smoking,0.7011231754250465,0.682641829835261,0.6883548147705851,0.7239367074402424
25,smoking,tartar,0.5782955311026274,0.5001779010966851,0.3582770826777326,0.5566154191448771
26,smoking,dental caries,0.3945685108293121,0.5,0.44107131656526377,0.7891370216586242
27,flight,satisfaction,0.6757996112507596,0.6473815443714879,0.6455088422788973,0.6724457487064638
28,flight,Customer Type,0.4082361572322187,0.5,0.4494823884531174,0.8164723144644374
29,flight,Class,0.4718266775215248,0.48347086688318974,0.46067554720413284,0.67039925863001
